SK_ID_CURR,TARGET
100001,0.058
100005,0.217
100013,0.042
100028,0.035
100038,0.12
100042,0.022
100057,0.022
100065,0.097
100066,0.017
100067,0.117
100074,0.0
100090,0.083
100091,0.182
100092,0.105
100106,0.087
100107,0.119
100109,0.072
100117,0.0
100128,0.067
100141,0.048
100150,0.023
100168,0.007
100169,0.0
100170,0.08
100171,0.044
100172,0.129
100184,0.0
100187,0.069
100212,0.046
100222,0.085
100223,0.015
100232,0.023
100241,0.146
100245,0.018
100253,0.021
100256,0.111
100271,0.0
100278,0.248
100280,0.019
100306,0.168
100311,0.148
100312,0.0
100330,0.082
100331,0.054
100352,0.105
100358,0.155
100367,0.04
100382,0.142
100384,0.064
100385,0.101
100386,0.058
100399,0.039
100404,0.112
100416,0.025
100422,0.121
100426,0.036
100438,0.044
100444,0.0
100445,0.136
100446,0.095
100447,0.0
100450,0.0
100466,0.032
100483,0.027
100484,0.022
100494,0.068
100510,0.167
100512,0.0
100517,0.036
100548,0.0
100551,0.0
100552,0.131
100553,0.025
100561,0.159
100568,0.437
100569,0.04
100591,0.05
100592,0.0
100602,0.06
100607,0.057
100613,0.0
100617,0.113
100618,0.094
100622,0.151
100625,0.088
100677,0.124
100699,0.051
100702,0.469
100711,0.086
100729,0.197
100740,0.121
100744,0.142
100745,0.045
100747,0.172
100751,0.284
100752,0.043
100753,0.338
100754,0.212
100760,0.058
100762,0.084
100763,0.048
100765,0.031
100770,0.127
100772,0.036
100777,0.04
100791,0.023
100792,0.013
100797,0.022
100823,0.03
100826,0.05
100830,0.0
100836,0.352
100872,0.067
100910,0.085
100913,0.0
100918,0.057
100931,0.017
100952,0.067
100953,0.0
100965,0.207
100970,0.0
100982,0.207
100983,0.178
100984,0.052
100987,0.084
100997,0.076
100998,0.099
101002,0.108
101005,0.228
101008,0.125
101020,0.077
101021,0.059
101024,0.042
101025,0.173
101026,0.039
101031,0.0
101041,0.036
101051,0.011
101055,0.115
101056,0.336
101057,0.068
101064,0.0
101079,0.123
101087,0.056
101090,0.0
101092,0.111
101097,0.132
101099,0.0
101107,0.093
101118,0.087
101125,0.168
101126,0.023
101128,0.034
101136,0.114
101140,0.097
101149,0.0
101160,0.0
101169,0.232
101181,0.06
101186,0.015
101190,0.12
101193,0.107
101194,0.117
101198,0.12
101200,0.018
101204,0.04
101211,0.0
