SK_ID_CURR,TARGET
100001,0.081
100005,0.09
100013,0.083
100028,0.059
100038,0.108
100042,0.057
100057,0.085
100065,0.09
100066,0.073
100067,0.106
100074,0.071
100090,0.094
100091,0.089
100092,0.094
100106,0.085
100107,0.099
100109,0.076
100117,0.077
100128,0.075
100141,0.084
100150,0.069
100168,0.057
100169,0.073
100170,0.063
100171,0.083
100172,0.098
100184,0.083
100187,0.075
100212,0.081
100222,0.087
100223,0.063
100232,0.076
100241,0.102
100245,0.079
100253,0.057
100256,0.085
100271,0.067
100278,0.081
100280,0.081
100306,0.095
100311,0.105
100312,0.065
100330,0.077
100331,0.074
100352,0.095
100358,0.088
100367,0.068
100382,0.095
100384,0.097
100385,0.083
100386,0.077
100399,0.058
100404,0.078
100416,0.067
100422,0.09
100426,0.073
100438,0.079
100444,0.084
100445,0.087
100446,0.091
100447,0.075
100450,0.07
100466,0.079
100483,0.073
100484,0.076
100494,0.092
100510,0.095
100512,0.069
100517,0.062
100548,0.083
100551,0.067
100552,0.085
100553,0.065
100561,0.096
100568,0.107
100569,0.07
100591,0.084
100592,0.057
100602,0.081
100607,0.065
100613,0.077
100617,0.081
100618,0.084
100622,0.093
100625,0.102
100677,0.087
100699,0.09
100702,0.107
100711,0.088
100729,0.098
100740,0.098
100744,0.095
100745,0.074
100747,0.074
100751,0.132
100752,0.081
100753,0.093
100754,0.1
100760,0.085
100762,0.076
100763,0.09
100765,0.075
100770,0.08
100772,0.076
100777,0.075
100791,0.057
100792,0.064
100797,0.076
100823,0.087
100826,0.084
100830,0.07
100836,0.094
100872,0.103
100910,0.079
100913,0.094
100918,0.073
100931,0.065
100952,0.085
100953,0.079
100965,0.103
100970,0.07
100982,0.104
100983,0.115
100984,0.063
100987,0.108
100997,0.079
100998,0.093
101002,0.081
101005,0.085
101008,0.084
101020,0.084
101021,0.096
101024,0.077
101025,0.09
101026,0.094
101031,0.077
101041,0.061
101051,0.069
101055,0.079
101056,0.106
101057,0.09
101064,0.071
101079,0.094
101087,0.083
101090,0.069
101092,0.074
101097,0.081
101099,0.069
101107,0.081
101118,0.076
101125,0.073
101126,0.073
101128,0.085
101136,0.103
101140,0.091
101149,0.083
101160,0.071
101169,0.093
101181,0.071
101186,0.075
101190,0.081
101193,0.087
101194,0.116
101198,0.084
101200,0.062
101204,0.085
101211,0.085
101213,0.071
101223,0.079
101225,0.084
101237,0.07
101243,0.085
101244,0.118
101258,0.07
101259,0.101
101268,0.086
101269,0.079
101271,0.096
101279,0.07
101281,0.085
101287,0.061
101292,0.069
101294,0.083
101296,0.07
101297,0.075
101299,0.096
101301,0.082
101305,0.084
101308,0.099
101318,0.057
101327,0.102
101329,0.079
101332,0.07
101337,0.081
101343,0.057
101345,0.075
101346,0.085
101353,0.061
101354,0.107
101355,0.088
101356,0.069
101362,0.079
101363,0.091
101365,0.073
101366,0.09
101367,0.092
101368,0.075
101374,0.089
101380,0.077
101383,0.065
101398,0.057
101399,0.094
101401,0.091
101412,0.094
101426,0.085
101427,0.103
101428,0.086
